
Id,Apellido,Posicion,Valor
1,Jody,Delantero,108755.73
2,Addy,Volante,55986.77
3,Eran,Volante,137549.09
4,Shena,Defensor,143901.81
5,Raphaela,Arquero,118663.81
6,Niles,Volante,65220.71
7,Connie,Volante,141799.92
8,Amabelle,Defensor,115128.83
9,Charmaine,Volante,144984.02
10,Kristal,Volante,101681.52
11,Angel,Delantero,63787.98
12,Salomo,Volante,59266.91
13,Ameline,Volante,69966.01
14,Cirstoforo,Volante,99718.88
15,Simeon,Defensor,90179.64
16,Berenice,Delantero,62196.43
17,Malina,Delantero,113887.65
18,Ailee,Arquero,107933.80
19,Nathanial,Defensor,122821.07
20,Beret,Defensor,142660.34
21,Eloise,Delantero,131579.30
22,Victor,Delantero,80636.67
23,Elbertina,Defensor,114076.93
24,Iago,Volante,70055.39
25,Hally,Arquero,130547.05
26,Teresita,Defensor,143436.78
27,Paige,Arquero,118155.50
28,Osmund,Arquero,118183.54
29,Frans,Arquero,81381.99
30,Sawyere,Defensor,139647.50
31,Ninnetta,Arquero,137998.80
32,Edlin,Defensor,148344.81
33,Gillie,Volante,115786.39
34,Hedda,Delantero,53158.26
35,Ole,Delantero,81416.62
36,Ortega,Delantero,15000.00
37,Gallardo,Enganche,25000.00
